Kind,Name,CountClassCoupled,PercentLackOfCohesion,AvgCyclomatic,SumCyclomatic,Essential,MaxNesting,CountClassBase,CountClassDerived,MaxInheritanceTree,CountDeclClass,CountDeclInstanceMethod,CountLineCode,CountLineComment
Public Constructor,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.RelatorioReservas",,,,1,1,0,,,,,,6,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.getData",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.getQuantidadeAlunosManha",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.getQuantidadeAlunosNoite",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.getQuantidadeAlunosTarde",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.getQuantidadeAlunosTotal",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.setData",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.setQuantidadeAlunosManha",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.setQuantidadeAlunosNoite",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.RelatorioReservas.setQuantidadeAlunosTarde",,,,1,1,0,,,,,,3,0
Public Class,"br.edu.utfpr.biblioteca.salas.model.ReservasHorario",0,50,1,4,,0,1,0,1,,4,16,4
Public Method,"br.edu.utfpr.biblioteca.salas.model.ReservasHorario.getHorario",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.ReservasHorario.getStatus",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.ReservasHorario.setHorario",,,,1,1,0,,,,,,3,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.ReservasHorario.setStatus",,,,1,1,0,,,,,,3,0
Package,"br.edu.utfpr.biblioteca.salas.model.bo",,,2,86,,2,,,,8,14,497,199
Public Class,"br.edu.utfpr.biblioteca.salas.model.bo.AdministradorBO",5,0,4,4,,2,1,0,1,,1,21,4
Public Method,"br.edu.utfpr.biblioteca.salas.model.bo.AdministradorBO.gerarRelatorio",,,,4,1,2,,,,,,19,0
Public Class,"br.edu.utfpr.biblioteca.salas.model.bo.ParserCsvBO",2,50,3,12,,2,1,0,1,,4,80,11
Public Constructor,"br.edu.utfpr.biblioteca.salas.model.bo.ParserCsvBO.ParserCsvBO",,,,4,1,1,,,,,,22,0
Private Method,"br.edu.utfpr.biblioteca.salas.model.bo.ParserCsvBO.getMeses",,,,3,1,2,,,,,,13,0
Private Method,"br.edu.utfpr.biblioteca.salas.model.bo.ParserCsvBO.writeCsvReservasMensalOrAnual",,,,3,1,2,,,,,,25,0
Private Method,"br.edu.utfpr.biblioteca.salas.model.bo.ParserCsvBO.writeCsvReservasSemana",,,,2,1,1,,,,,,16,7
Public Class,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO",13,60,2,23,,2,1,0,1,,0,104,66
Public Static Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.descreverDia",,,,3,1,2,,,,,,20,10
Public Static Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.descreverDiaHash",,,,4,1,2,,,,,,24,9
Public Static Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.descreverMes",,,,2,1,1,,,,,,8,7
Public Static Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.fazerCheckin",,,,4,1,1,,,,,,14,6
Public Static Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.fazerCheckout",,,,4,1,1,,,,,,14,0
Public Static Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.getReservaAtiva",,,,1,1,0,,,,,,3,8
Public Static Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.getReservaAtiva",,,,1,1,0,,,,,,3,7
Public Static Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.getReservaPorId",,,,1,1,0,,,,,,3,6
Public Static Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.setStatus",,,,1,1,0,,,,,,4,7
Public Static Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBO.update",,,,2,1,1,,,,,,8,6
Public Class,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBOTest",6,83,1,11,,1,1,0,1,,6,50,15
Public Constructor,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBOTest.ReservaBOTest",,,,1,1,0,,,,,,2,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBOTest.testParser_writeCsvReservasSemana",,,,3,1,1,,,,,,12,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBOTest.testSomeMethod",,,,1,1,0,,,,,,8,0
Public Method,"br.edu.utfpr.biblioteca.salas.model.bo.ReservaBOTest.testWriteCsvReservasMensal",,,,3,1,1,,,,,,13,0
