Kind,Name,PercentLackOfCohesion,AvgCyclomatic,SumCyclomatic,Essential,MaxNesting,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled,CountLineCode,CountLineComment,CountDeclClass,CountDeclInstanceMethod
Public Class,"br.edu.utfpr.biblioteca.salas.controller.SessionContext",88,1,12,,1,1,0,1,1,38,37,,8
Private Constructor,"br.edu.utfpr.biblioteca.salas.controller.SessionContext.SessionContext",,,1,1,0,,,,,2,0,,
Private Method,"br.edu.utfpr.biblioteca.salas.controller.SessionContext.currentExternalContext",,,2,1,1,,,,,7,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.SessionContext.encerrarSessao",,,1,1,0,,,,,3,3,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.SessionContext.getAttribute",,,1,1,0,,,,,3,6,,
Public Static Method,"br.edu.utfpr.biblioteca.salas.controller.SessionContext.getInstance",,,2,1,1,,,,,6,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.SessionContext.getNameUsuarioLogado",,,2,1,0,,,,,4,5,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.SessionContext.getUsuarioLogado",,,1,1,0,,,,,3,6,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.SessionContext.setAttribute",,,1,1,0,,,,,3,6,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.SessionContext.setUsuarioLogado",,,1,1,0,,,,,3,5,,
Package,"br.edu.utfpr.biblioteca.salas.dao",,1,23,,1,,,,,152,32,4,19
Public Class,"br.edu.utfpr.biblioteca.salas.dao.ReservaDAOTest",66,1,7,,1,1,0,1,9,46,5,,6
Public Constructor,"br.edu.utfpr.biblioteca.salas.dao.ReservaDAOTest.ReservaDAOTest",,,1,1,0,,,,,2,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.dao.ReservaDAOTest.listar",,,2,1,1,,,,,9,1,,
Public Method,"br.edu.utfpr.biblioteca.salas.dao.ReservaDAOTest.reservar",,,1,1,0,,,,,10,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.dao.ReservaDAOTest.test_cancelarReserva",,,1,1,0,,,,,8,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.dao.ReservaDAOTest.test_getQuantidadeReservas",,,1,1,0,,,,,6,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.dao.ReservaDAOTest.test_updateReservaEmCurso",,,1,1,0,,,,,8,0,,
Public Class,"br.edu.utfpr.biblioteca.salas.dao.SalaDAOTest",16,1,7,,1,1,0,1,4,35,4,,6
Public Constructor,"br.edu.utfpr.biblioteca.salas.dao.SalaDAOTest.SalaDAOTest",,,1,1,0,,,,,2,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.dao.SalaDAOTest.cadastrarSala",,,2,1,1,,,,,9,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.dao.SalaDAOTest.test_getQuantidadeSalas",,,1,1,0,,,,,4,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.dao.SalaDAOTest.test_getSalaDisponiveis",,,1,1,0,,,,,6,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.dao.SalaDAOTest.test_getStatusDaSala",,,1,1,0,,,,,6,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.dao.SalaDAOTest.test_whichSalaAreVaga",,,1,1,0,,,,,5,0,,
Public Class,"br.edu.utfpr.biblioteca.salas.dao.StatusDAOTest",0,1,3,,1,1,0,1,3,10,4,,2
Public Constructor,"br.edu.utfpr.biblioteca.salas.dao.StatusDAOTest.StatusDAOTest",,,1,1,0,,,,,2,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.dao.StatusDAOTest.criar",,,2,1,1,,,,,6,0,,
Public Class,"br.edu.utfpr.biblioteca.salas.dao.UsuarioDAOTest",60,1,6,,1,1,0,1,6,29,3,,5
Public Constructor,"br.edu.utfpr.biblioteca.salas.dao.UsuarioDAOTest.UsuarioDAOTest",,,1,1,0,,,,,2,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.dao.UsuarioDAOTest.cadastrar",,,2,1,1,,,,,9,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.dao.UsuarioDAOTest.test_ReservaEmCurso",,,1,1,0,,,,,7,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.dao.UsuarioDAOTest.test_autenticar",,,1,1,0,,,,,4,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.dao.UsuarioDAOTest.test_usuarioCadastrado",,,1,1,0,,,,,4,0,,
Package,"br.edu.utfpr.biblioteca.salas.model",,1,38,,1,,,,,161,42,4,33
Public Class,"br.edu.utfpr.biblioteca.salas.model.Dia",42,1,8,,1,1,0,1,2,28,8,,7
Public Constructor,"br.edu.utfpr.biblioteca.salas.model.Dia.Dia",,,1,1,0,,,,,4,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.Dia.addHora",,,2,1,1,,,,,5,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.Dia.getData",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.Dia.getHorario",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.Dia.getStrDia",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.Dia.setData",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.Dia.setHorario",,,1,1,0,,,,,3,0,,
Public Class,"br.edu.utfpr.biblioteca.salas.model.Hora",40,1,15,,1,1,0,2,2,59,11,,11
Public Constructor,"br.edu.utfpr.biblioteca.salas.model.Hora.Hora",,,1,1,0,,,,,4,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.Hora.addReserva",,,2,1,1,,,,,7,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.Hora.clone",,,1,1,0,,,,,5,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.Hora.compareTo",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.Hora.getDisableReserva",,,2,1,1,,,,,8,5,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.Hora.getHora",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.Hora.getId",,,2,1,1,,,,,7,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.Hora.getReservas",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.model.Hora.getStatusReserva",,,2,1,1,,,,,7,0,,
